<data>
<meta>
<attributes>
<attribute><type>Categorical</type><name>Categorical_0</name></attribute>
<attribute><type>Numerical</type><name>displacement</name></attribute>
<attribute><type>Numerical</type><name>horsepower</name></attribute>
<attribute><type>Numerical</type><name>weight</name></attribute>
<attribute><type>Numerical</type><name>acceleration</name></attribute>
<attribute><type>Categorical</type><name>Categorical_1</name></attribute>
<attribute><type>Categorical</type><name>Categorical_3</name></attribute>
</attributes>
<hierarchy>
<Categorical_0 name="cylinders">
<![CDATA[<3></3><4></4><5></5><6></6><8></8>]]>
</Categorical_0>

<Categorical_1 name="modelYear">
<![CDATA[<c1><70></70><71></71><72></72><73></73><74></74></c1><c2><75></75><76></76><77></77><78></78><79></79></c2><c3><80></80><81></81><82></82></c3>]]>
</Categorical_1>

<Categorical_3 name="CarName">
<![CDATA[<Europ><fiat></fiat><volvo></volvo><opel></opel><triumph></triumph><audi></audi><bmw></bmw><volkswagen></volkswagen><porsche></porsche><mercedes-benz></mercedes-benz><peugeot></peugeot><renault></renault></Europ><USA><oldsmobile></oldsmobile><buick></buick><chevy></chevy><cadillac></cadillac><chrysler></chrysler><pontiac></pontiac><chevrolet></chevrolet><amc></amc><dodge></dodge><mercury></mercury><plymouth></plymouth><datsun></datsun><ford></ford></USA><Japan><honda></honda><nissan></nissan><subaru></subaru><toyota></toyota><mazda></mazda><saab></saab></Japan>]]>
</Categorical_3>

</hierarchy>
</meta>
<class>T</class>
<dataset>
8	307	130	3504	12	70	chevrolet
8	350	165	3693	11.5	70	buick
8	318	150	3436	11	70	plymouth
8	304	150	3433	12	70	amc
8	302	140	3449	10.5	70	ford
8	429	198	4341	10	70	ford
8	454	220	4354	9	70	chevrolet
8	440	215	4312	8.5	70	plymouth
8	455	225	4425	10	70	pontiac
8	390	190	3850	8.5	70	amc
8	383	170	3563	10	70	dodge
8	340	160	3609	8	70	plymouth
8	400	150	3761	9.5	70	chevrolet
8	455	225	3086	10	70	buick
4	113	95	2372	15	70	toyota
6	198	95	2833	15.5	70	plymouth
6	199	97	2774	15.5	70	amc
6	200	85	2587	16	70	ford
4	97	88	2130	14.5	70	datsun
4	97	46	1835	20.5	70	volkswagen
4	110	87	2672	17.5	70	peugeot
4	107	90	2430	14.5	70	audi
4	104	95	2375	17.5	70	saab
4	121	113	2234	12.5	70	bmw
6	199	90	2648	15	70	amc
8	360	215	4615	14	70	ford
8	307	200	4376	15	70	chevy
8	318	210	4382	13.5	70	dodge
4	97	88	2130	14.5	71	datsun
4	140	90	2264	15.5	71	chevrolet
4	113	95	2228	14	71	toyota
4	98	104	2046	19	71	ford
6	232	100	2634	13	71	amc
6	225	105	3439	15.5	71	plymouth
6	250	100	3329	15.5	71	chevrolet
6	250	88	3302	15.5	71	ford
6	232	100	3288	15.5	71	amc
8	350	165	4209	12	71	chevrolet
8	400	175	4464	11.5	71	pontiac
8	351	153	4154	13.5	71	ford
8	318	150	4096	13	71	plymouth
8	383	180	4955	11.5	71	dodge
8	400	170	4746	12	71	ford
8	400	175	5140	12	71	pontiac
6	258	110	2962	13.5	71	amc
4	140	72	2408	19	71	chevrolet
6	250	100	3282	15	71	pontiac
6	250	88	3139	14.5	71	ford
4	122	86	2220	14	71	mercury
4	116	90	2123	14	71	opel
4	79	70	2074	19.5	71	peugeot
4	88	76	2065	14.5	71	fiat
4	71	65	1773	19	71	toyota
4	72	69	1613	18	71	datsun
4	97	60	1834	19	71	volkswagen
4	91	70	1955	20.5	71	plymouth
4	113	95	2278	15.5	72	toyota
4	97.5	80	2126	17	72	dodge
4	97	54	2254	23.5	72	volkswagen
4	140	90	2408	19.5	72	chevrolet
4	122	86	2226	16.5	72	ford
8	350	165	4274	12	72	chevrolet
8	400	175	4385	12	72	pontiac
8	318	150	4135	13.5	72	plymouth
8	351	153	4129	13	72	ford
8	304	150	3672	11.5	72	amc
8	429	208	4633	11	72	mercury
8	350	155	4502	13.5	72	buick
8	350	160	4456	13.5	72	oldsmobile
8	400	190	4422	12.5	72	chrysler
3	70	97	2330	13.5	72	mazda
8	304	150	3892	12.5	72	amc
8	307	130	4098	14	72	chevrolet
8	302	140	4294	16	72	ford
8	318	150	4077	14	72	plymouth
4	121	112	2933	14.5	72	volvo
4	121	76	2511	18	72	volkswagen
4	120	87	2979	19.5	72	peugeot
4	96	69	2189	18	72	renault
4	122	86	2395	16	72	ford
4	97	92	2288	17	72	datsun
4	120	97	2506	14.5	72	toyota
4	98	80	2164	15	72	dodge
4	97	88	2100	16.5	72	toyota
8	350	175	4100	13	73	buick
8	304	150	3672	11.5	73	amc
8	350	145	3988	13	73	chevrolet
8	302	137	4042	14.5	73	ford
8	318	150	3777	12.5	73	dodge
8	429	198	4952	11.5	73	mercury
8	400	150	4464	12	73	chevrolet
8	351	158	4363	13	73	ford
8	318	150	4237	14.5	73	plymouth
8	440	215	4735	11	73	chrysler
8	455	225	4951	11	73	buick
8	360	175	3821	11	73	amc
6	225	105	3121	16.5	73	plymouth
6	250	100	3278	18	73	chevrolet
6	232	100	2945	16	73	amc
6	250	88	3021	16.5	73	ford
6	198	95	2904	16	73	plymouth
4	97	46	1950	21	73	volkswagen
